frame_coords,rmse,range,effective_range,partial_sill,sill,nugget,a,b
lat_-47.290016_-47.245018_long_167.47127_167.51627,1.2052820777506548,549.9035172822036,549.9035172822036,14.827842509411013,14.827842509411052,3.976581770433521e-14,14.827842509411013,0.0054555024758287515
lat_-47.290016_-47.245018_long_167.51627_167.56126,1.0013548973635795,5299.175159360138,5299.175159360138,11.35389077867076,16.590196654075577,5.236305875404816,11.35389077867076,0.0005661258421890403
lat_-47.245018_-47.20002_long_167.51627_167.56126,1.193717705786625,4781.67676205826,4781.67676205826,4.226589546594799,7.191391245135337,2.9648016985405374,4.2265895465948,0.0006273949807323777
lat_-47.245018_-47.20002_long_167.56126_167.60626,0.4270850895475935,273.21686901621746,273.21686901621746,2.437251557463086,2.4372515574630866,4.848067605055027e-16,2.437251557463086,0.010980288335790598
lat_-47.200016_-47.155018_long_167.56126_167.60626,1.2150188388612921,2955.6326457707964,2955.6326457707964,3.9831514616478003,6.765936421497923,2.7827849598501224,3.9831514616478003,0.0010150111192920705
lat_-47.200016_-47.155018_long_167.60626_167.65126,0.36541094020950843,734.2074856839542,734.2074856839542,1.640516261820874,2.793444228472395,1.152927966651521,1.6405162618208737,0.004086038427142073
lat_-47.200016_-47.155018_long_167.74127_167.78627,0.6737964319316708,5365.962362221522,5365.962362221522,3.8128258984490926,5.11314394599009,1.300318047540997,3.812825898449093,0.0005590795830252511
lat_-47.200016_-47.155018_long_167.78627_167.83127,2.086391268410853,4993.896658526926,4993.896658526926,7.439932208349704,9.101084671947346,1.6611524635976413,7.439932208349704,0.0006007332960880541
lat_-47.155018_-47.11002_long_167.60626_167.65126,0.2675062846046388,5947.242628673892,5947.242628673892,1.2327718859970833,2.4694268112243414,1.236654925227258,1.2327718859970833,0.0005044354480403864
lat_-47.155018_-47.11002_long_167.65128_167.69627,0.2071381279501407,532.3572323198199,532.3572323198199,1.4967568430729912,2.246628485728965,0.749871642655974,1.496756843072991,0.0056353136913855515
lat_-47.155018_-47.11002_long_167.69627_167.74127,0.13071060090939304,1315.3977967486503,1315.3977967486503,0.9486621004057499,2.340435016629597,1.391772916223847,0.94866210040575,0.002280678899885103
lat_-47.155018_-47.11002_long_167.74127_167.78627,0.5374410967874255,1533.8093065964906,1533.8093065964906,6.1474191533923594,8.10295258955458,1.9555334361622208,6.147419153392359,0.0019559145893155217
lat_-47.155018_-47.11002_long_167.78627_167.83127,0.5838678183664037,5906.609567305885,5906.609567305885,2.4568079139316192,6.233740747046038,3.7769328331144187,2.4568079139316197,0.0005079055870910316
lat_-47.155018_-47.11002_long_167.83127_167.87627,0.46255085449409483,370.6257324079365,370.6257324079365,3.222572478605001,3.2225724786052363,2.352444102417095e-13,3.222572478605001,0.008094419080157098
lat_-47.155018_-47.11002_long_167.87627_167.92126,0.3308312903352537,3728.1762698649086,3728.1762698649086,0.865096035821502,2.9394323737008716,2.0743363378793696,0.8650960358215021,0.0008046829824676465
lat_-47.110016_-47.065018_long_167.56126_167.60626,2.3415284518160826,5744.917665219844,5744.917665219844,11.736256861060596,11.736256861076228,1.5631880790230844e-11,11.736256861060596,0.0005222006954359366
lat_-47.110016_-47.065018_long_167.60626_167.65126,0.49534386739744846,5887.823422361192,5887.823422361192,3.7805597941158826,6.298948126529142,2.51838833241326,3.780559794115882,0.0005095261499532047
lat_-47.110016_-47.065018_long_167.65128_167.69627,0.9421574359034218,375.935355713057,375.935355713057,4.107866526350581,4.107866526362994,1.2411992701429952e-11,4.107866526350581,0.007980095392490385
lat_-47.110016_-47.065018_long_167.69627_167.74127,0.307349093698844,354.9247439956604,354.9247439956604,2.5466224004467173,2.5466224004467186,1.485981874861978e-15,2.5466224004467173,0.008452496059380634
lat_-47.110016_-47.065018_long_167.74127_167.78627,1.4148381703312158,333.4541980305174,333.4541980305174,8.357831231673728,8.357831231673728,3.677409126457801e-18,8.357831231673728,0.008996737836017416
lat_-47.110016_-47.065018_long_167.78627_167.83127,2.217260631817996,5895.719848889608,5895.719848889608,7.412052127803533,11.955491549207013,4.5434394214034795,7.412052127803533,0.0005088437166099431
lat_-47.110016_-47.065018_long_167.83127_167.87627,2.4661350111638485,5975.725658258936,5975.725658258936,5.049001708437809,6.159431196845185,1.1104294884073753,5.04900170843781,0.0005020310789960308
lat_-47.110016_-47.065018_long_167.87627_167.92126,0.5020795741649835,5753.062645136332,5753.062645136332,1.7895452000839387,4.116619090286382,2.3270738902024433,1.7895452000839387,0.0005214613824058069
